0.002015,500,500,300,-300
0.114657,500,500,300,-300
0.127879,500,500,300,-300
0.132647,500,500,300,-300
0.134927,500,500,300,-300
0.137593,500,500,300,-300
0.145202,500,500,300,-300
0.151765,500,500,300,-300
0.153875,500,500,300,-300
0.156954,500,500,300,-300
0.159856,500,500,300,-300
0.162437,500,500,300,-300
0.165437,500,500,300,-300
0.168284,500,500,300,-300
0.171007,500,500,300,-300
0.173132,500,500,300,-300
0.175364,500,500,300,-300
0.178485,500,500,300,-300
0.180428,500,500,300,-300
0.182609,500,500,300,-300
0.184902,500,500,300,-300
0.187433,500,500,300,-300
0.189618,500,500,300,-300
0.193045,500,500,300,-300
0.195446,500,500,300,-300
0.198013,500,500,300,-300
0.201894,500,500,300,-300
0.204902,500,500,300,-300
0.208104,500,500,300,-300
0.210690,500,500,300,-300
0.214103,500,500,300,-300
0.218634,364,364,164,-436
0.222680,400,400,200,-400
0.226934,484,484,284,-316
0.231450,578,578,378,-222
0.235887,653,653,453,-147
0.241377,702,702,502,-98
0.245672,737,737,537,-63
0.250328,756,756,556,-44
0.254339,767,767,567,-33
0.258687,773,773,573,-27
0.262809,776,776,576,-24
0.266932,778,778,578,-22
0.272215,784,784,584,-16
0.276968,798,798,598,-2
0.281357,817,817,617,17
0.286475,827,827,627,27
0.291061,832,832,632,32
0.294533,833,833,633,33
0.298014,832,832,632,32
0.302925,820,820,620,20
0.307241,776,776,576,-24
0.312116,708,708,508,-92
0.317381,617,617,417,-183
0.322203,506,506,306,-294
0.326318,383,383,183,-417
0.331273,266,266,66,-534
0.335784,178,178,-22,-622
0.339964,126,126,-74,-674
0.344203,102,102,-98,-698
0.347955,94,94,-106,-706
0.350302,94,94,-106,-706
0.353001,96,96,-104,-704
0.358373,114,114,-86,-686
0.363130,147,147,-53,-653
0.368026,193,193,-7,-607
0.372456,244,244,44,-556
0.376155,316,316,116,-484
0.380867,397,397,197,-403
0.385162,501,501,301,-299
0.389695,665,665,465,-135
0.394462,781,781,581,-19
0.399406,867,867,667,67
0.404657,917,917,717,117
0.408204,942,942,742,142
0.411897,954,954,754,154
0.415595,958,958,758,158
0.419938,959,959,759,159
0.424905,960,960,760,160
0.428955,961,961,761,161
0.434396,963,963,763,163
0.438901,963,963,763,163
0.442638,959,959,759,159
0.447192,925,925,725,125
0.451565,826,826,626,26
0.456182,665,665,465,-135
0.460423,509,509,309,-291
0.464195,394,394,194,-406
0.468321,340,340,140,-460
0.471920,326,326,126,-474
0.475268,310,310,110,-490
0.480846,289,289,89,-511
0.485075,274,274,74,-526
0.489565,256,256,56,-544
0.493636,237,237,37,-563
0.497682,219,219,19,-581
0.502677,206,206,6,-594
0.506476,199,199,-1,-601
0.510575,197,197,-3,-603
0.513572,197,197,-3,-603
0.517887,198,198,-2,-602
0.522280,200,200,0,-600
0.526433,202,202,2,-598
0.530925,204,204,4,-596
0.534785,206,206,6,-594
0.538862,214,214,14,-586
0.543261,239,239,39,-561
0.548436,301,301,101,-499
0.553842,381,381,181,-419
0.558924,490,490,290,-310
0.563615,621,621,421,-179
0.567843,717,717,517,-83
0.572428,794,794,594,-6
0.576279,827,827,627,27
0.581023,840,840,640,40
0.585284,846,846,646,46
0.590424,848,848,648,48
0.593235,848,848,648,48
0.596670,848,848,648,48
0.599680,848,848,648,48
0.602987,848,848,648,48
0.606372,849,849,649,49
0.609938,849,849,649,49
0.613110,849,849,649,49
0.618068,846,846,646,46
0.623628,841,841,641,41
0.628426,835,835,635,35
0.633823,827,827,627,27
0.638485,808,808,608,8
0.643036,768,768,568,-32
0.647438,700,700,500,-100
0.651336,605,605,405,-195
0.655644,501,501,301,-299
0.660358,429,429,229,-371
0.665831,382,382,182,-418
0.670831,359,359,159,-441
0.674813,346,346,146,-454
0.677632,342,342,142,-458
0.681956,337,337,137,-463
0.686558,331,331,131,-469
0.690963,323,323,123,-477
0.695463,314,314,114,-486
0.698554,307,307,107,-493
0.702365,298,298,98,-502
0.707147,287,287,87,-513
0.711961,277,277,77,-523
0.716742,266,266,66,-534
0.721992,257,257,57,-543
0.725844,249,249,49,-551
0.730293,241,241,41,-559
0.734604,232,232,32,-568
0.739713,225,225,25,-575
0.748951,219,219,19,-581
0.754296,214,214,14,-586
0.759126,211,211,11,-589
0.763393,210,210,10,-590
0.767123,210,210,10,-590
0.770200,210,210,10,-590
0.775260,210,210,10,-590
0.777725,210,210,10,-590
0.780673,210,210,10,-590
0.784315,209,209,9,-591
0.787364,209,209,9,-591
0.790542,210,210,10,-590
0.795829,215,215,15,-585
0.799671,242,242,42,-558
0.803662,310,310,110,-490
0.807572,406,406,206,-394
0.812408,509,509,309,-291
0.817109,577,577,377,-223
0.821396,623,623,423,-177
0.825585,657,657,457,-143
0.829130,671,671,471,-129
0.833548,680,680,480,-120
0.837255,685,685,485,-115
0.841448,691,691,491,-109
0.845991,703,703,503,-97
0.851053,718,718,518,-82
0.855670,728,728,528,-72
0.858952,733,733,533,-67
0.863124,738,738,538,-62
0.868124,740,740,540,-60
0.872454,741,741,541,-59
0.876486,746,746,546,-54
0.880413,762,762,562,-38
0.884739,783,783,583,-17
0.889329,801,801,601,1
0.894357,815,815,615,15
0.898543,822,822,622,22
0.902184,824,824,624,24
0.907713,826,826,626,26
0.910988,826,826,626,26
0.915046,826,826,626,26
0.917853,826,826,626,26
0.922963,823,823,623,23
0.927217,818,818,618,18
0.932280,809,809,609,9
0.935801,809,809,609,9
0.940173,809,809,609,9
0.944426,809,809,609,9
0.948470,809,809,609,9
0.952896,809,809,609,9
0.956885,809,809,609,9
0.960884,809,809,609,9
0.966176,809,809,609,9
0.970810,809,809,609,9
0.976299,809,809,609,9
0.979612,809,809,609,9
0.982283,809,809,609,9
0.986304,809,809,609,9
0.989230,809,809,609,9
0.994366,809,809,609,9
0.998468,809,809,609,9
1.003459,809,809,609,9
1.008962,809,809,609,9
1.014177,809,809,609,9
1.019371,809,809,609,9
1.022437,809,809,609,9
1.025845,809,809,609,9
1.028499,809,809,609,9
1.031209,809,809,609,9
1.033993,809,809,609,9
1.036863,809,809,609,9
1.040263,809,809,609,9
1.043103,809,809,609,9
1.046078,809,809,609,9
1.049459,449,449,249,-351
1.054402,425,425,225,-375
1.058139,405,405,205,-395
1.062771,380,380,180,-420
1.065903,355,355,155,-445
1.070790,328,328,128,-472
1.074708,311,311,111,-489
1.078972,292,292,92,-508
1.082774,277,277,77,-523
1.087425,267,267,67,-533
1.092113,260,260,60,-540
1.097031,255,255,55,-545
1.101949,249,249,49,-551
1.107438,241,241,41,-559
1.111902,229,229,29,-571
1.115498,214,214,14,-586
1.119615,204,204,4,-596
1.123800,198,198,-2,-602
1.128472,196,196,-4,-604
1.133544,196,196,-4,-604
1.138736,198,198,-2,-602
1.143444,200,200,0,-600
1.148729,202,202,2,-598
1.153886,204,204,4,-596
1.157006,205,205,5,-595
1.161388,215,215,15,-585
1.165299,258,258,58,-542
1.169666,340,340,140,-460
1.174584,444,444,244,-356
1.178827,559,559,359,-241
1.183414,663,663,463,-137
1.188452,731,731,531,-69
1.193012,769,769,569,-31
1.197583,788,788,588,-12
